旭景家园 实用三房 厅出阳台 保养好 安静带花园,旭景家园,东圃,3室2厅 ,106.97, 北 , 简装 ,11,2002, 塔楼,14,23,5200000.0,48612,VR房源 房本满五年 
高楼层采光好  配套齐全 交通便利,吉祥花苑,华景新城,3室1厅 ,103.05, 东 , 其他 ,8,1999, 塔楼,5,13,2880000.0,27948,VR房源 房本满五年 
华工旁 消防总队房改房  南向3房 实用率高 带天台使用,消防局宿舍,五山,3室2厅 ,81.54, 南 北 , 其他 ,8,1999, 板楼,0,12,3900000.0,47830,VR看装修 房本满五年 
产权清晰满五不唯一。有大阳台，西南向通风好采光佳。,棠德花园,棠下,2室1厅 ,62.77, 西南 , 其他 ,9,2000, 塔楼,2,11,2450000.0,39032,近地铁 VR看装修 房本满五年 
金兴花园，正规两房，有加装电梯，高层采光好。,金兴花园,天河公园,2室1厅 ,59.12, 东 , 精装 ,9,1996, 塔楼,10,15,3450000.0,58356,VR看装修 房本满五年 
通风采光好，适宜居住，小区安静，交通便利,育蕾小区,天河南,2室1厅 ,62.5, 南 , 简装 ,9,1993, 塔楼,7,12,4500000.0,72000,近地铁 VR看装修 房本满五年 
君林复式 精装修 采光通风 满五唯一,君林天下,龙洞,5室2厅 ,149.0, 东北 , 精装 ,24,2003, 塔楼,6,16,6880000.0,46175,近地铁 VR房源 房本满五年 
长运大院 3室1厅 南 北,长运大院,沙河,3室1厅 ,70.32, 南 北 , 其他 ,9,1995, 塔楼,1,12,2550000.0,36263,近地铁 VR看装修 房本满五年 
近地铁金融城羊城花园南向大三房,羊城花园,东圃,3室1厅 ,85.94, 南 , 简装 ,7,1999, 塔楼,15,12,3600000.0,41890,VR看装修 房本满两年 
林海山庄3房，南向，近望龙洞山脉,保利林海山庄,龙洞,3室2厅 ,99.06, 南 , 精装 ,25,1996, 塔楼,15,13,5600000.0,56532,VR看装修 房本满五年 
高楼层，采光好，业主自住保养好，看小区花园,育龙居,龙洞,3室2厅 ,107.16, 东北 , 精装 ,9,1990, 塔楼,8,15,4000000.0,37328,近地铁 VR看装修 房本满五年 
太古汇天河新作南北对流 采光通光佳,天河新作,体育中心,3室1厅 ,118.41, 南 , 精装 ,33,2006, 塔楼,6,15,14980000.0,126510,VR看装修 房本满五年 
天河东圃远洋明苑 方正大两房 高层采光好,远洋明苑,东圃,2室1厅 ,82.46, 北 , 其他 ,18,2004, 塔楼,5,7,3800000.0,46083,VR看装修 房本满两年 
橡树园 安静对花园 视野开阔，通风采光好,橡树园,沙太南,2室1厅 ,80.37, 西南 , 简装 ,9,2006, 塔楼,3,11,3000000.0,37328,VR看装修 房本满两年 
电梯高楼层三房，沙太南优质小区,云宁居,沙太南,3室1厅 ,82.42, 北 , 精装 ,9,1999, 塔楼,17,12,2750000.0,33366,VR看装修 房本满五年 
此房中高层 视野采光好 正规三房 实用率高,东圃法院宿舍,东圃,3室2厅 ,116.71, 北 东北 , 简装 ,12,1999, 塔楼,9,16,4500000.0,38558,近地铁 VR看装修 房本满两年 
高层南向 无贷款 保养9成新 租期刚满 方便看房,领峰园,珠江新城中,1室1厅 ,81.58, 南 , 其他 ,42,2009, 塔楼,9,6,7000000.0,85806,近地铁 VR看装修 房本满两年 
加拿大花园 2室2厅 东南,加拿大花园,华景新城,2室2厅 ,85.6, 东南 , 其他 ,28,1995, 塔楼,2,14,3980000.0,46496,VR看装修 房本满五年 
高层南向两房 望小蛮腰 视野开阔,天成大厦,龙口西,2室2厅 ,70.1, 南 , 简装 ,32,2002, 塔楼,8,10,4500000.0,64195,VR看装修 房本满五年 
乐雅苑 小两房 安静望花园 交通方便,乐雅苑,员村,2室1厅 ,49.85, 南 , 其他 ,9,2006, 塔楼,0,8,2150000.0,43130,近地铁 VR看装修 房本满五年 
满五唯一 户型方正 格局有改动过,长兴小区,长兴,3室1厅 ,75.61, 北 , 其他 ,11,2003, 塔楼,2,16,2800000.0,37033,VR看装修 房本满五年 
龙岗路 3房户型 准备加装电梯,龙岗路,沙河,3室1厅 ,81.72, 南 , 简装 ,8,1999, 塔楼,2,9,2200000.0,26922,VR看装修 房本满五年 
电梯中高层 ，东北向视野采光好，双阳台,瑞心苑,燕塘,2室1厅 ,77.59, 东北 , 其他 ,15,2000, 塔楼,3,8,3600000.0,46398,VR看装修 房本满五年 
骏景花园南苑 大户型 采光视野好,骏景花园,棠下,7室2厅 ,243.16, 北 , 简装 ,13,2003, 塔楼,33, 一年前发布,11300000.0,46472,VR房源 房本满两年 随时看房 
天翔花园 4室2厅 北,天翔花园,龙口东,4室2厅 ,164.0, 北 , 精装 ,15,2000, 塔楼,11, 1个月以前发布,13800000.0,84147,近地铁 VR房源 房本满五年 随时看房 
加拿大花园的顶层少有复式4房，看房方便。,加拿大花园,华景新城,4室2厅 ,244.88, 北 东北 , 简装 ,23,1995, 塔楼,50, 8个月以前发布,8280000.0,33813,VR房源 房本满五年 随时看房 
东南实用四房，电梯房，户型方正,天信大厦,龙口西,4室2厅 ,161.0, 东南 , 简装 ,9,1997, 塔楼,3, 一年前发布,9600000.0,59628,VR看装修 房本满五年 随时看房 
东方花苑  顶层复式 可分独立两套使用,东方花苑,杨箕,7室3厅 ,218.7, 东 西南 , 简装 ,27,1994, 塔楼,7, 2个月以前发布,9280000.0,42433,VR房源 房本满五年 随时看房 
华景新城，136方南北向四房，单边位置采光明亮,华景新城逸意居,华景新城,4室2厅 ,136.3, 南 北 , 简装 ,31,2000, 塔楼,33, 1个月以前发布,9200000.0,67499,VR房源 房本满五年 随时看房 
华景新城翠安侬苑 4室2厅 北,华景新城翠安侬苑,华景新城,4室2厅 ,155.4, 北 , 其他 ,32,2002, 塔楼,16, 3个月以前发布,12000000.0,77221,VR房源 房本满两年 随时看房 
希尔顿阳光 5室2厅 西北 北,希尔顿阳光,龙口西,5室2厅 ,159.2, 西北 北 , 其他 ,27,2002, 塔楼,9, 2个月以前发布,13500000.0,84799,VR房源 房本满五年 随时看房 
中庭少有放盘，高层，前后无遮挡，采光通风好视野佳,汇景新城中央庭院,汇景新城,4室2厅 ,207.7, 东南 南 北 , 精装 ,28,2008, 塔楼,89, 7个月以前发布,18500000.0,89071,VR房源 房本满五年 随时看房 
中楼层，四房两卫，经典开间，楼龄新，诚心出售,南华工商学院,沙太南,4室2厅 ,132.42, 北 南 , 其他 ,6,2005, 塔楼,18, 4个月以前发布,4300000.0,32473,VR看装修 房本满两年 随时看房 
精装修三房，安静宜居，通风良好,昌乐园,员村,3室2厅 ,64.38, 南 , 精装 ,6,1994, 板楼,14, 2个月以前发布,3200000.0,49705,近地铁 VR看装修 房本满两年 随时看房 
华景新城 方正大三房 带露天阳台 采光通风好,华景新城建宇轩,华景新城,3室2厅 ,119.85, 东 西 , 简装 ,9,1998, 塔楼,104, 一年前发布,6900000.0,57572,VR房源 房本满两年 随时看房 
名雅苑小高层复式单位 户型方正 一梯两户 看房方便,名雅苑,体育中心,5室2厅 ,211.36, 东南 , 精装 ,6,1994, 板楼,25, 5个月以前发布,14000000.0,66238,近地铁 VR房源 房本满五年 随时看房 
富力院士庭  经典户型 实用方正,富力院士庭,粤垦,3室2厅 ,155.86, 北 , 精装 ,18,2007, 塔楼,7, 1个月以前发布,11200000.0,71860,VR看装修 房本满五年 随时看房 
加拿大精装四房可拎包入住    户型方正实用,加拿大花园,华景新城,4室2厅 ,103.81, 西北 , 其他 ,23,1995, 塔楼,50, 7个月以前发布,4500000.0,43349,VR房源 房本满两年 随时看房 
此房过五唯一税费低，总价便宜，业主诚心出售,棠德花园,棠下,2室1厅 ,55.02, 南 , 精装 ,10,1997, 塔楼,7,27,1900000.0,34533,VR看装修 房本满五年 随时看房 
地铁口 汇富电梯楼 厅出阳台大2房 东南 全明户型,汇富花园,粤垦,2室2厅 ,90.38, 东南 , 其他 ,9,1995, 塔楼,4,13,3680000.0,40717,VR看装修 房本满五年 随时看房 
小户型两房，实用性高，采光充足，环境安静宜居,隆基怡苑,沙太南,2室1厅 ,42.81, 东北 , 简装 ,8,1999, 塔楼,10,14,1700000.0,39711,VR看装修 房本满两年 随时看房 
户型方正实用，交通便利，中楼层，通风采光好,儒林大街远洋宿舍,棠下,3室1厅 ,94.4, 南 , 其他 ,9,1997, 塔楼,4,13,4350000.0,46081,近地铁 VR看装修 房本满两年 随时看房 
住宅性质，电梯房、楼层好、视野好、采光好。,广之旅大厦,五山,2室1厅 ,83.7, 西北 , 其他 ,22,2000, 塔楼,1,11,2850000.0,34051,VR看装修 房本满五年 随时看房 
朝晖苑 2室2厅 北,朝晖苑,林和,2室2厅 ,85.55, 北 , 简装 ,28,1997, 塔楼,7,10,7100000.0,82993,VR看装修 房本满五年 随时看房 
棠德花园 2室1厅 东,棠德花园,棠下,2室1厅 ,53.93, 东 , 精装 ,9,1997, 塔楼,4,9,1840000.0,34119,VR看装修 房本满五年 随时看房 
地铁两房，户型方正，采光好 精装修 南向两房,惠苑楼,车陂,2室2厅 ,86.97, 南 , 简装 ,9,1995, 塔楼,6,29,3400000.0,39094,近地铁 VR看装修 房本满五年 
风行牛奶小区 精装两房 两年新装 厅出阳台,风行牛奶宿舍,沙太南,2室2厅 ,58.64, 西 , 精装 ,9,1996, 塔楼,2,23,1600000.0,27286,VR看装修 房本满两年 
嘉逸花园 精致小两房 东向朝向 光线充足,嘉逸花园,粤垦,2室1厅 ,47.49, 东南 , 简装 ,10,1995, 塔楼,155, 一年前发布,1480000.0,31165,VR看装修 
小区环境优美  配套齐全 采光好  电梯三房  格局方正,羊城花园,东圃,3室2厅 ,154.34, 南 , 其他 ,18,2003, 塔楼,0,25,6300000.0,40819,VR看装修 房本满五年 随时看房 
侨林苑二期 户型方正大两房 万科物业 小区环境号,侨林苑,林和,2室1厅 ,92.47, 西北 , 其他 ,17,2003, 塔楼,9,22,10100000.0,109225,VR看装修 房本满五年 随时看房 
盈彩美居 高层安静看花园 格局方正 业主诚心出售,盈彩美居,东圃,2室2厅 ,83.36, 北 , 其他 ,12,2003, 塔楼,20,19,5100000.0,61181,VR看装修 房本满两年 随时看房 
东南向一房，采光通风好，交通便利,东璟花园,员村,1室1厅 ,35.17, 东南 , 其他 ,16,2004, 塔楼,1,15,2300000.0,65397,VR看装修 房本满五年 随时看房 
交通方便 空中花园 户型方正 采光通风好,阳光家园(天河),沙太南,1室1厅 ,40.74, 东 , 精装 ,7,2002, 塔楼,32,31,1370000.0,33628,VR看装修 房本满两年 随时看房 
鸿燕居  电梯两房  满五唯一 厅出阳台 近地铁 装修好,鸿燕居,粤垦,2室1厅 ,73.71, 东 , 精装 ,11,2003, 塔楼,23,28,2650000.0,35952,VR看装修 房本满五年 随时看房 
棠东地铁口 南向大两房 户型方正 采光通风好,春江花园,棠下,2室2厅 ,90.88, 南 , 其他 ,16,2000, 塔楼,7,27,3880000.0,42694,近地铁 VR看装修 房本满两年 随时看房 
天誉华庭 1室1厅 西南,天誉华庭,龙口西,1室1厅 ,59.63, 西南 , 精装 ,28,2004, 板塔结合,9,24,5350000.0,89720,VR看装修 房本满五年 随时看房 
中惠·睿元 6室2厅 南 北,中惠·睿元,智慧城,6室2厅 ,132.92, 南 北 , 毛坯 ,2,2017, 板楼,0,4,11500000.0,86519,
南北通透，产权清晰，保养好，中低层，南向看花园。,汇景新城龙熹山,汇景新城,4室2厅 ,251.0, 南 北 , 精装 ,29,2011, 板楼,58, 一年前发布,18000000.0,71714,VR房源 房本满五年 
誉峰 中层望珠江公园 南北通透 正规四房双阳台,誉峰,珠江新城东,4室2厅 ,203.0, 南 北 , 精装 ,43,2007, 板楼,51, 一年前发布,28380000.0,139803,VR房源 房本满五年 
员村电梯高层复式5房，车位足，治安管理好，配套齐全,海景大厦,天河公园,5室2厅 ,188.14, 南 , 简装 ,9,2001, 塔楼,9, 一年前发布,8500000.0,45180,VR房源 房本满五年 
居家温馨四房 户型方正 配套成熟 望珠江公园,隽峰苑,珠江新城中,4室2厅 ,232.61, 东 南 , 精装 ,32,2008, 塔楼,60, 一年前发布,30000000.0,128972,VR房源 房本满五年 
方圆月岛 望小蛮腰大四房  免增值税,方圆月岛,珠江新城中,4室2厅 ,170.39, 南 , 精装 ,30,2009, 塔楼,185, 一年前发布,19000000.0,111509,VR看装修 房本满五年 
厅出阳台，户型方正，通风采光好，原装电梯,德荣小区,龙口西,2室1厅 ,94.5, 东南 , 其他 ,18,1995, 塔楼,14, 5个月以前发布,5800000.0,61376,近地铁 VR看装修 
粤垦路 联发名苑 精装三房 望花园,联发名苑,粤垦,3室2厅 ,96.03, 南 北 , 简装 ,9,1996, 塔楼,82, 一年前发布,2750000.0,28637,VR看装修 房本满五年 随时看房 
鸿燕居 小三房 南向通风采光好 厅出阳台 诚心出售,鸿燕居,粤垦,3室1厅 ,83.0, 南 , 简装 ,6,1998, 塔楼,3, 1个月以前发布,2750000.0,33133,VR看装修 房本满两年 
广梅汕宿舍 2室1厅 东,广梅汕宿舍,龙口西,2室1厅 ,89.06, 东 , 简装 ,25,2005, 塔楼,4, 1个月以前发布,5000000.0,56142,VR看装修 房本满五年 
此房视野宽阔，通风采光好，证过10年，2019年装修未住,育龙居,龙洞,3室2厅 ,104.8, 北 , 精装 ,9,1990, 塔楼,7,28,4700000.0,44848,近地铁 VR看装修 房本满五年 
汇友苑 3室2厅 南,汇友苑,东圃,3室2厅 ,109.87, 南 , 其他 ,19,1994, 塔楼,4,23,4980000.0,45327,VR房源 房本满两年 
骏景花园 3室2厅 南 北,骏景花园,棠下,3室2厅 ,102.91, 南 北 , 其他 ,13,2000, 板楼,20,30,7000000.0,68021,VR看装修 房本满两年 
精装2房，格局方正，交通方便，装修保养整洁,员村四横路2号大院,员村,2室1厅 ,72.97, 北 南 , 精装 ,9,1991, 塔楼,5,24,3500000.0,47965,VR看装修 房本满五年 
乐意居花园 2室2厅 北,乐意居花园,长兴,2室2厅 ,62.11, 北 , 精装 ,9,1999, 塔楼,11,27,2150000.0,34617,VR看装修 房本满五年 
南雅苑 电梯3房 户型方正 采光通风好,南雅苑,天河南,3室2厅 ,89.9, 西南 , 简装 ,18,1992, 塔楼,102, 一年前发布,5320000.0,59177,VR看装修 房本满五年 随时看房 
顶楼复式  大户型  采光视野好,骏景花园,棠下,5室2厅 ,190.0, 东 , 其他 ,13,2000, 板楼,4, 1个月以前发布,10300000.0,54211,VR房源 房本满五年 
粤垦路  长讯实业大厦电梯三房  诚心出售  使用率高,长讯实业大厦,粤垦,3室1厅 ,99.53, 东南 , 其他 ,12,1998, 塔楼,2,27,4000000.0,40189,近地铁 VR房源 房本满两年 
跑马地花园三期 2室2厅 西南,跑马地花园三期,珠江新城东,2室2厅 ,75.52, 西南 , 精装 ,33,2006, 塔楼,8, 1个月以前发布,5320000.0,70445,VR看装修 房本满两年 
理想蓝堡国际花园 5室2厅 南,理想蓝堡国际花园,天河公园,5室2厅 ,132.28, 南 , 精装 ,29,2004, 塔楼,23,29,13000000.0,98277,近地铁 VR看装修 房本满两年 
房子方正实用 安静宜居 采光好,东晖花园,天河公园,4室1厅 ,164.66, 东南 , 其他 ,10,1999, 塔楼,13,26,12280000.0,74578,近地铁 VR看装修 房本满五年 
华景新城，翠安侬苑，东南朝向，安静大四房,华景新城翠安侬苑,华景新城,4室2厅 ,170.51, 东南 , 精装 ,32,2002, 塔楼,19,23,11500000.0,67445,VR看装修 房本满五年 
粤海丽江花园 4室2厅 东南,粤海丽江花园,珠江新城东,4室2厅 ,233.47, 东南 , 其他 ,45,2009, 塔楼,4,19,30640000.0,131238,VR看装修 房本满两年 
华南御景园 5室2厅 南,华南御景园,岑村,5室2厅 ,178.87, 南 , 其他 ,10,2009, 塔楼,1,16,6980000.0,39023,VR房源 房本满两年 
隽峰苑 4室2厅 南 北,隽峰苑,珠江新城中,4室2厅 ,167.29, 南 北 , 精装 ,32,2008, 塔楼,9,16,20000000.0,119553,VR看装修 房本满两年 
翠湖山庄天河公园方正户型南向安静望花园装修保养好,翠湖山庄,天河公园,4室1厅 ,159.15, 南 , 精装 ,32,1999, 塔楼,58,22,9800000.0,61578,VR房源 房本满五年 
正佳万豪金殿 1室1厅 东,正佳万豪金殿,天河南,1室1厅 ,70.76, 东 , 精装 ,39,2011, 塔楼,0,2,3650000.0,51583,近地铁 房本满五年 
信成小区 华阳本部三房 配套完善,信成小区,体育中心,3室2厅 ,99.0, 南 北 , 简装 ,8,1995, 塔楼,34, 一年前发布,7700000.0,77778,近地铁 VR房源 房本满五年 随时看房 
云山翠苑 电梯两房 安静看花园 采光通风好,云山翠苑,沙太南,2室1厅 ,70.23, 东南 , 其他 ,8,2004, 塔楼,4,30,2650000.0,37734,VR看装修 房本满五年 随时看房 
保利心语 高层两房 精装保养好 景观开阔 随时看房,保利心语花园,珠江新城中,2室2厅 ,73.17, 北 , 精装 ,32,2009, 塔楼,13,22,10970000.0,149925,VR房源 房本满两年 随时看房 
厅出阳台采光好 中间楼层 格局方正 满五唯一免个税,天鹅花苑,长兴,2室1厅 ,52.89, 北 , 简装 ,6,2003, 塔楼,22,22,2000000.0,37815,近地铁 VR房源 房本满五年 随时看房 
南北朝向 近东站，格局方正户型好，楼层好，视野宽阔,兴禺大厦,林和,3室2厅 ,92.36, 南 北 , 其他 ,33,2002, 塔楼,4,31,3250000.0,35189,VR看装修 房本满两年 随时看房 
汇豪大厦  4房2厅2卫  业主诚心放卖,汇豪大厦,珠江新城东,4室2厅 ,174.96, 东南 , 精装 ,29,1996, 塔楼,5,21,14800000.0,84591,VR看装修 房本满两年 随时看房 
橡树园 温馨两房 价格笋 看房有钥匙 满五年物业,橡树园,沙太南,3室2厅 ,85.98, 西北 , 其他 ,9,2006, 塔楼,3,18,3060000.0,35590,VR看装修 房本满五年 随时看房 
封闭式望花园户型方正实用，小区安静不吵,龙口花苑,龙口西,3室2厅 ,82.63, 南 , 精装 ,9,2002, 塔楼,21,17,6000000.0,72613,VR房源 房本满两年 随时看房 
员村四横路 国际金融城的 刚需两房 看房方便,百合苑B区,员村,2室1厅 ,49.34, 北 西 , 其他 ,9,1996, 塔楼,11,30,2000000.0,40536,VR看装修 房本满五年 随时看房 
天河峰景大厦 安静舒适三房 格局方正 视野采光好,天河峰景大厦,燕塘,3室1厅 ,87.02, 北 , 简装 ,28,2008, 塔楼,2,22,4000000.0,45967,VR看装修 房本满五年 随时看房 
华师双地铁 2房2厅3阳台 采光通风好安静不吵,天立大厦,龙口东,2室2厅 ,77.59, 西北 , 其他 ,29,1993, 塔楼,0,18,5000000.0,64442,近地铁 VR房源 房本满两年 随时看房 
嘉裕君玥公馆，舒适安静，住家氛围浓厚，户型方正实用,嘉裕君玥公馆,珠江新城西,1室1厅 ,292.0, 东南 , 其他 ,30,2009, 塔楼,5,23,35000000.0,119864,VR房源 房本满五年 随时看房 
南北对流，楼层好，视野宽阔，采光充足，配套齐全，,华建大厦,天河公园,3室2厅 ,112.13, 北 东北 , 其他 ,18,2004, 塔楼,0,24,9850000.0,87845,VR看装修 房本满五年 随时看房 
大院管理绿化好 大院少有框架3房 有钥匙看房方便,国土测绘院大院,沙太南,3室1厅 ,73.88, 南 , 简装 ,5,1999, 塔楼,18,17,2180000.0,29508,近地铁 VR看装修 房本满五年 随时看房 
东圃大马路闹中带静电梯小两房  户型方正实用,雅怡阁,东圃,2室1厅 ,59.8, 东北 , 其他 ,23,2000, 塔楼,8,23,2200000.0,36790,VR看装修 房本满两年 随时看房 
稀有户型，中海物业，方正实用。,中海璟晖华庭,珠江新城中,2室1厅 ,88.0, 北 , 其他 ,32,2007, 塔楼,22,18,11500000.0,130682,VR看装修 房本满五年 随时看房 
天河双地铁300米 业主诚心出售 配套成熟 宜居社区,燕塘广场,燕塘,4室2厅 ,112.0, 南 , 其他 ,9,1995, 塔楼,13, 一年前发布,3600000.0,32143,VR看装修 房本满五年 随时看房 
华建小区 户型方正 实用三房 采光好 安静舒适,华建小区,天河公园,3室2厅 ,97.45, 东 , 简装 ,17,2001, 塔楼,3,8,6800000.0,69780,VR看装修 房本满五年 
天河公园锦明街安静两房，装修保养好,黄埔大道中锦明街,天河公园,2室1厅 ,53.8, 东 , 其他 ,9,1999, 塔楼,1,11,2380000.0,44238,近地铁 VR看装修 房本满两年 
乐意居高层南向两房，电梯在动工，小区环境好,乐意居花园,长兴,2室1厅 ,62.08, 南 , 简装 ,9,1994, 塔楼,6,14,2250000.0,36244,VR看装修 房本满两年 
少放户型，安静舒适，装修好，视野开阔,耀星华庭,林和,3室2厅 ,119.0, 西南 , 其他 ,31,2003, 塔楼,3,4,12000000.0,100841,VR房源 房本满五年 
富力公园28户型方正装修保养好适宜居家,富力公园28,珠江新城东,4室2厅 ,215.38, 东南 , 精装 ,48,2012, 塔楼,23, 4个月以前发布,14200000.0,65930,房本满五年 
户型方正  南向望江  南北对流   通风采光好 精装修,天銮,珠江新城中,4室2厅 ,265.0, 东南 , 精装 ,47,2013, 塔楼,8, 2个月以前发布,37000000.0,139623,房本满两年 
天銮 4房3主套 东南向 看小区花园 采光充足 户型方正,天銮,珠江新城中,4室1厅 ,264.57, 东南 , 精装 ,47,2015, 塔楼,27, 2个月以前发布,32000000.0,120951,房本满五年 
天平花苑 精装修 正规三房户型 3楼采光充足 双阳台,天平花苑,沙太南,3室2厅 ,91.59, 西 , 简装 ,9,1996, 塔楼,787, 一年前发布,2730000.0,29807,VR看装修 房本满五年 
福龙苑 方正三房中楼层 采光视野好,福龙苑,粤垦,3室1厅 ,89.83, 东 , 简装 ,9,2000, 塔楼,64, 一年前发布,3000000.0,33397,VR看装修 房本满五年 随时看房 
佳润临江上品，国际金融城，沿江风光带，近珠江新城！,佳润临江上品,员村,1室1厅 ,44.35, 北 , 其他 ,27,2008, 塔楼,0,12,1900000.0,42842,近地铁 房本满五年 
近地铁，中楼层，视野采光好，无遮挡，出行交通方便,力达广场,燕塘,1室1厅 ,50.52, 西 , 简装 ,26,2016, 塔楼,8,5,1420000.0,28108,房本满两年 
帝景苑 单边位 采光好 实用四房,帝景苑,龙口西,4室2厅 ,131.0, 东 , 简装 ,34,2000, 塔楼,85, 一年前发布,11000000.0,83970,近地铁 VR房源 房本满两年 
东方新世界 南向望小区花园 视野开阔,东方新世界,天河公园,5室2厅 ,239.78, 东南 , 精装 ,26,2007, 塔楼,99, 一年前发布,26800000.0,111770,VR看装修 房本满五年 
中达广场 高层南向 三房 采光好 带阳台  景观好,中达广场,珠江新城中,3室1厅 ,64.0, 南 , 精装 ,25,2012, 塔楼,2,7,4500000.0,70313,随时看房 
南向复式两房，户型方正，采光好，高楼层,合景睿峰L7,珠江新城东,2室1厅 ,114.0, 西北 , 简装 ,41,2015, 塔楼,15, 1个月以前发布,5400000.0,47369,房本满五年 随时看房 
省府宿舍 方正两房 交通便利 采光好,广州大道省府宿舍,体育中心,2室1厅 ,80.03, 南 , 精装 ,9,1998, 塔楼,38, 一年前发布,3900000.0,48732,VR房源 房本满五年 随时看房 
"本小区单价偏低的一套大户型,四房两卫",豪景花园,沙河,4室1厅 ,99.76, 东北 , 精装 ,19,2009, 塔楼,157, 一年前发布,3480000.0,34884,VR看装修 房本满五年 随时看房 
华阳新装修两房，电梯高层南向，视野开阔,河源大厦,林和,2室1厅 ,68.09, 南 , 其他 ,16,1998, 塔楼,19,23,3680000.0,54047,近地铁 VR看装修 房本满两年 随时看房 
跑马地花园三期 2房2厅1卫 76平方 400万 安静 环境好,跑马地花园三期,珠江新城东,2室2厅 ,76.0, 西北 , 精装 ,33,2006, 塔楼,17, 1个月以前发布,4000000.0,52632,VR看装修 房本满五年 随时看房 
21号线棠东地铁口春江花园高层一房。通风采光好。,春江花园,棠下,1室1厅 ,50.23, 北 , 简装 ,18,2000, 塔楼,11, 1个月以前发布,2100000.0,41808,近地铁 VR看装修 房本满五年 随时看房 
嘉逸花园两房一厅出售，格局方正,嘉逸花园,粤垦,2室1厅 ,47.49, 东南 南 , 其他 ,10,1995, 塔楼,6,26,1700000.0,35798,VR看装修 房本满两年 随时看房 
员村新村一房一厅，产权清晰。总价低,员村新村,员村,1室1厅 ,41.35, 南 , 其他 ,6,1980, 塔楼,5,21,1600000.0,38695,VR看装修 房本满五年 随时看房 
棠德花园 改造的小两房 位置好,棠德花园,棠下,2室1厅 ,56.11, 南 , 简装 ,9,1997, 塔楼,24,28,1600000.0,28516,近地铁 VR看装修 房本满两年 随时看房 
跑马地花园三期 2室1厅 西南,跑马地花园三期,珠江新城东,2室1厅 ,75.52, 西南 , 精装 ,33,2006, 塔楼,0,23,6080000.0,80509,近地铁 VR看装修 房本满两年 随时看房 
珠光新城国际 复式南向2房 安静舒适  环境优美,珠光新城国际中心,珠江新城东,2室2厅 ,79.55, 南 , 精装 ,30,2010, 塔楼,68, 一年前发布,5050000.0,63483,房本满两年 
天一新村 复式三层 带露台环境好,天一新村,粤垦,5室2厅 ,186.19, 东南 , 简装 ,6,2008, 塔楼,23, 一年前发布,8000000.0,42967,VR房源 房本满五年 
天河公园门口 交通便利 配套成熟,仙湖名苑,天河公园,8室3厅 ,397.18, 西北 , 其他 ,25,2003, 塔楼,25, 7个月以前发布,23260000.0,58563,近地铁 VR房源 房本满两年 
华阳电梯四房 近地铁口 近天河城,华苑大厦,体育中心,4室2厅 ,145.87, 南 , 其他 ,30,1998, 塔楼,9, 7个月以前发布,7600000.0,52102,近地铁 VR房源 房本满两年 
金燕花园 4房 厅房朝南向 视野开阔望山景,金燕花园,粤垦,4室2厅 ,109.74, 南 , 其他 ,9,1999, 塔楼,7, 4个月以前发布,4500000.0,41007,VR房源 房本满五年 
天河公园东门电梯三房 安静近公园 交通便利,天河鸿运花园,天河公园,3室1厅 ,104.05, 北 , 简装 ,9,1999, 塔楼,12, 5个月以前发布,4670000.0,44883,近地铁 VR看装修 房本满两年 
华工旁电梯大四房 使用率高 看房方便,天河军休三所,粤垦,4室1厅 ,145.0, 东 东南 南 西南 西 , 简装 ,15,1999, 塔楼,14, 一年前发布,7500000.0,51725,VR房源 房本满五年 
瑞心苑 复式3层 大露台 高楼层采光好 户型方正,瑞心苑,燕塘,6室3厅 ,196.78, 东 南 西 , 精装 ,15,2000, 塔楼,4, 3个月以前发布,13040000.0,66267,近地铁 VR房源 房本满两年 
伍仙花园，复式大户型，高层景观无遮挡,伍仙花园B区,沙太南,5室1厅 ,155.7, 东南 , 其他 ,12,2002, 塔楼,13, 10个月以前发布,6680000.0,42904,VR房源 房本满五年 
陶苑小区，加装电梯，产权非共有，满五唯一,陶苑小区,沙太南,3室1厅 ,80.16, 西 , 简装 ,9,1993, 塔楼,9, 7个月以前发布,2550000.0,31812,VR看装修 房本满五年 
华南御景园复式装 大阳台精装修  环境优美视野好,华南御景园,岑村,5室2厅 ,294.65, 东南 南 , 精装 ,11,2011, 塔楼,28, 一年前发布,16180000.0,54913,VR房源 房本满五年 
五山花园   电梯高层   5房  给您一个更舒适的家,五山花园,五山,5室2厅 ,171.69, 北 , 精装 ,10,2000, 塔楼,25, 一年前发布,12000000.0,69894,VR看装修 房本满五年 
天河北 龙口西 复式户型 大露台 有钥匙 看房方便,鸿翔大厦,天润路,7室2厅 ,314.44, 西 东北 , 其他 ,29,2002, 塔楼,2, 5个月以前发布,18000000.0,57245,VR房源 房本满五年 
君林天下南向大面积 三房两卫主套,君林天下,龙洞,3室2厅 ,235.42, 南 , 精装 ,24,2003, 塔楼,12, 4个月以前发布,11880000.0,50464,近地铁 VR房源 房本满两年 
满五唯一，南北朝向，中楼层，视野采光好,君林天下,龙洞,5室2厅 ,217.0, 东南 , 精装 ,18,2003, 塔楼,14, 5个月以前发布,11500000.0,52996,近地铁 VR房源 房本满五年 
